仮説検証,新規サービス立ち上げ時の仮説検証とチームビルディング,天野葵,@mutachii,https://twitter.com/mutachii,株式会社アカツキ,エンジニア
仮説検証,ヒトサービスにおける仮説検証,中込まどか,@nagominakagomi,https://twitter.com/nagominakagomi,READYFOR株式会社,プロダクトマネージャー
仮説検証,ABテストの落とし穴,新井康平,@SpicyCoffee66,https://twitter.com/SpicyCoffee66,クックパッド株式会社,エンジニア
仮説検証,共創からはじまる仮説検証 〜デザイン思考をベースとしたサービス開発〜,田屋和美,@kazumissimi,https://twitter.com/kazumissimi,Tigerspike,UX Designer
仮説検証,機能追加時における仮説検証,赤松 祐希,@ukstudio,https://twitter.com/ukstudio,クックパッド株式会社,エンジニア
チームビルディング,事業の急拡大を支える、振り返りドリブンのチームビルディング,渡辺 謙太,@k6nta,https://twitter.com/k6nta,株式会社Gunosy,マネージャー
チームビルディング,語彙を育ててチームをつくる話,長 俊祐,@s_osa_,https://twitter.com/s_osa_,クックパッド株式会社,エンジニア
チームビルディング,新規事業でワークフローをデザインする話,藤井 謙士朗,@kenshir0f,https://twitter.com/kenshir0f,クックパッド株式会社,デザイナー
チームビルディング,シリコンバレーで３ヶ月働いて体感した自律型組織のススメ,松木 久幸,matsu0228,https://github.com/matsu0228,NTTレゾナント株式会社,NTTレゾナント株式会社
ユーザーインタビュー,“なぜ？”と聞かないユーザーインタビューを体験してみよう,山田麻里衣,@YamadaQuality,https://twitter.com/YamadaQuality,,やさしいデザイナー
ユーザーインタビュー,はじめてのユーザーインタビューでのしくじり、良かった話,三上 光司,@mikaji_jp,https://twitter.com/mikaji_jp,株式会社リクルートマーケティングパートナーズ,エンジニア
ユーザーインタビュー,目的に沿ったユーザーインタビューを選ぶ方法,松岡 大輔 ,@raisumm,https://twitter.com/raisumm,クックパッド株式会社,プロダクトマネージャー
ユーザーインタビュー,開発プロセスに馴染むユーザーインタビュー,新井 康平,@SpicyCoffee66,https://twitter.com/SpicyCoffee66,クックパッド株式会社,エンジニア・PM
ピボット,自信を持ってピボットするために,森川慎太郎,@morishin127,https://twitter.com/morishin127,クックパッド株式会社,エンジニア
ピボット,新規事業をリブランディングのみでピボットした話,八尾拓斗,,,株式会社クラウドワークス,プロダクトオーナー/UXデザイナー
ピボット,リブランディングの異常なスコープ または私は如何にして心配するのを止めてリブランディングを上手に着地させたか, 藤原裕也,@asonas,http://ason.as/,クックパッド株式会社,エンジニア
ピボット,"累計DL数3,400万のアプリを成長させ続けるためのピボット",大曽根圭輔,@dr_paradi,https://twitter.com/dr_paradi,株式会社Gunosy,プロダクトオーナー